,TP,FP,FN,recall,precision,f_score
chroma_bass_TOTAL,5091.0,508.0,1315.0,0.79,0.91,0.85
cnn_bass_TOTAL,6119.0,541.0,287.0,0.96,0.92,0.94
multi_bass_TOTAL,4436.0,474.0,1970.0,0.69,0.9,0.78
rnn_bass_TOTAL,6118.0,1571.0,288.0,0.96,0.8,0.87
