,TP,FP,FN,recall,precision,f_score
chroma_bass_TOTAL,6935.0,1521.0,2894.0,0.71,0.82,0.76
cnn_bass_TOTAL,8712.0,1160.0,1117.0,0.89,0.88,0.88
multi_bass_TOTAL,4687.0,4482.0,5142.0,0.48,0.51,0.49
rnn_bass_TOTAL,9173.0,2497.0,656.0,0.93,0.79,0.85
