,TP,FP,FN,recall,precision,f_score
chroma_bass_TOTAL,7702.0,624.0,2127.0,0.78,0.93,0.85
cnn_bass_TOTAL,8671.0,127.0,1158.0,0.88,0.99,0.93
multi_bass_TOTAL,6869.0,812.0,2960.0,0.7,0.89,0.78
rnn_bass_TOTAL,7908.0,243.0,1921.0,0.8,0.97,0.88
