,TP,FP,FN,recall,precision,f_score
chroma_bass_TOTAL,1226.0,160.0,316.0,0.8,0.88,0.84
cnn_bass_TOTAL,1427.0,168.0,115.0,0.93,0.89,0.91
multi_bass_TOTAL,754.0,577.0,788.0,0.49,0.57,0.52
rnn_bass_TOTAL,1478.0,275.0,64.0,0.96,0.84,0.9
