,TP,FP,FN,recall,precision,f_score
chroma_bass_TOTAL,7702.0,624.0,2127.0,0.78,0.93,0.85
cnn_bass_TOTAL,2351.0,6325.0,7478.0,0.24,0.27,0.25
multi_bass_TOTAL,6869.0,812.0,2960.0,0.7,0.89,0.78
rnn_bass_TOTAL,8588.0,151.0,1241.0,0.87,0.98,0.93
